indicator_code,indicator_name,unit,source_note,source_org,topic_ids
BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)",,"Primary income payments refer to employee compensation paid to nonresident workers and investment income (payments on direct investment, portfolio investment, other investments).This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)",,"Imports of goods includes change in the economic ownership of goods from non-residents to


residents of the compiling economy, irrespective of physical movement of goods across national borders. Imports of services includes services provided by non-residents to residents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)",,"Insurance and financial services cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. This indicator is expressed as a percentage of service imports which are services provided by non-residents to residents.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)",,"Imports of goods occur when there are changes in the economic ownership of goods from non-residents to residents of the compiling economy, irrespective of physical movement of goods across national borders. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.NFSV.CD,"Service imports (BoP, current US$)",,"Imports of services are services provided by non-residents to residents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)",,"Charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises), and charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)",,"Imports of goods includes change in the economic ownership of goods from non-residents to


residents of the compiling economy, irrespective of physical movement of goods across national borders. Imports of services includes services provided by non-residents to residents. Primary income represents the return that accrues to institutional units for their contribution to the production process or for the provision of financial assets and renting natural resources to other institutional units. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)",,Transport services covers the process of carriage of people and objects from one location to another as well as related supporting and auxiliary services. Also included are postal and courier services. This indicator is expressed as a percentage of service imports which are services provided by non-residents to residents.,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)",,"Travel services cover goods and services for own use or to give away acquired from an economy by nonresidents during visits to that economy, or acquired from other economies by residents during visits to these other economies. This indicator is expressed as a percentage of service imports which are services provided by non-residents to residents.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)",,"Foreign direct investment refers to direct investment equity flows in an economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. This series shows net outflows of investment from the reporting economy to the rest of the world. Data are in current U.S. dollars.","Balance of Payments database, International Monetary Fund (IMF), note: International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.;
UN Conference on Trade and Development (UNCTAD);
Official national sources",3
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)",,"Foreign direct investment refers to direct investment equity flows in an economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. This series shows net outflows of investment from the reporting economy to the rest of the world, and is divided by GDP.","Balance of Payments database, International Monetary Fund (IMF), note: International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.;
UN Conference on Trade and Development (UNCTAD);
Official national sources",3
BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)",,"Secondary income refers to transfers recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)",,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees. Data are in current U.S. dollars.","IMF balance of payments data, International Monetary Fund (IMF);
Staff estimates, World Bank (WB)",3
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",,"Balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),,"Balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF);
World Development Indicators Database, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD)",3
BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",,"The net financial account shows net acquisition and disposal of financial assets and liabilities. It measures how net lending to or borrowing from nonresidents is financed, and is conceptually equal to the sum of the balances on the current and capital accounts. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)",,"Net primary income includes the net labor income and net property and entrepreneurial income components of the SNA. Labor income covers compensation of employees paid to nonresident workers. Property and entrepreneurial income covers investment income from the ownership of foreign financial claims (interest, dividends, rent, etc.) and nonfinancial property income (patents, copyrights, etc.). This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",,"The balance of international trade in goods and services is the difference between the exports and imports of goods and services. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)",,"The balance of international trade in goods is the difference between the exports and imports of goods. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)",,"Net errors and omissions constitute a residual category needed to ensure that accounts in the balance of payments statement sum to zero. Net errors and omissions are derived as the balance on the financial account minus the balances on the current and capital accounts. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)",,"Foreign direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the voting power is evidence of a direct investment relationship. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.KLT.PRVT.CD,"Private capital flows, total (BoP, current US$)",,"Private capital flows consist of net foreign direct investment and portfolio investment. Foreign direct investment is net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. The FDI included here is total net, that is, net FDI in the reporting economy from foreign sources less net FDI by the reporting economy to the rest of the world. Portfolio investment covers transactions in equity securities and debt securities. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",3
BN.KLT.PRVT.GD.ZS,"Private capital flows, total (% of GDP)",,"Private capital flows consist of net foreign direct investment and portfolio investment. Foreign direct investment is net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. The FDI included here is total net, that is, net FDI in the reporting economy from foreign sources less net FDI by the reporting economy to the rest of the world. Portfolio investment covers transactions in equity securities and debt securities.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",3
BN.KLT.PTXL.CD,"Portfolio Investment, net (BoP, current US$)",,"Portfolio investment includes cross-border flows and positions involving debt or equity securities, other than those included in direct investment or reserve assets. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",,"Reserves and related items is the net change in a country's holdings of international reserves resulting from transactions on the current, capital, and financial accounts. Reserve assets are external assets, including monetary gold, that are readily available to and controlled by monetary authorities for meeting balance of payments financing needs, for intervention in exchange markets to affect the currency exchange rate, and for other related purposes (such as maintaining confidence in the currency and the economy, and serving as a basis for foreign borrowing). Reserve assets must be denominated and settled in foreign currency.Also included are net credit and loans from the IMF (excluding reserve position) and total exceptional financing. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)",,"Net secondary income (from abroad) comprises transfers of income between residents of the reporting country and the rest of the world that carry no provisions for repayment. Net secondary income is equal to the unrequited transfers of income from nonresidents to residents minus the unrequited transfers from residents to nonresidents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)",,"Net capital account records acquisitions and disposals of nonproduced nonfinancial assets, such as land sold to embassies and sales of leases and licenses, as well as capital transfers, including government debt forgiveness. The use of the term capital account in this context is designed to be consistent with the System of National Accounts, which distinguishes between capital transactions and financial transactions. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GRT.EXTA.CD.DT,"Grants, excluding technical cooperation (current US$)",,Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",20
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",,"Grants are transfers made in cash, goods or services for which no repayment is required.  For ODA reporting purposes, they also include forgiveness of non-military debt, support to non-governmental organisations, certain interest subsidies, and certain costs incurred in the implementation of aid. Grants to multilateral agencies intended to soften the terms of the latter’s lending are a direct resource outflow and should also be recorded as ODA grants. For OOF reporting purposes, grants for commercial purposes such as subsidies to national private investors, and grants to forgive military debt, are also included. Grant-like flows are assimilated to grants. They comprise a) loans for which the service payments are to be made into an account in the borrowing country and used in the borrowing country for its own benefit, and b) provision of commodities for sale in the recipient’s currency the proceeds of which are used in the recipient country for its own benefit. Data are in current U.S. dollars.","DAC2A: Aid (ODA) disbursements to countries and regions, Organisation for Economic Co-operation and Development (OECD), uri: DSD_DAC2@DF_DAC2A, note: Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows, Development Co-operation Report, and OECD Data Explorer database. Data are available online at: https://data-explorer.oecd.org/., publisher: Organisation for Economic Co-operation and Development (OECD)",3
BX.GRT.TECH.CD.DT,Technical cooperation grants (current US$),,"Technical cooperation grants include free-standing technical cooperation grants, which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investment-related technical cooperation grants, which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",20
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)",,"Technical cooperation grants include free-standing technical cooperation grants, which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investment-related technical cooperation grants, which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.","DAC2A: Aid (ODA) disbursements to countries and regions, Organisation for Economic Co-operation and Development (OECD), uri: DSD_DAC2@DF_DAC2A, note: Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows, Development Co-operation Report, and OECD Data Explorer database. Data are available online at: https://data-explorer.oecd.org/.",3
BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)",,Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions). Data are in current U.S. dollars.,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)",,Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions).,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)",,"Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere. This indicator is expressed as a percentage of service exports which are services provided by residents to non-residents.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)",,"Primary income receipts refer to employee compensation paid to resident workers working abroad and investment income (receipts on direct investment, portfolio investment, other investments, and receipts on reserve assets). This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)",,"Exports of goods includes changes in the economic ownership of goods from residents of the compiling economy to non-residents, irrespective of physical movement of goods across national borders. Exports of services includes services provided by residents to non-residents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.INCL.CD,"Exports of goods, services, income and workers' remittances (BoP, current US$)",,Exports of goods and services are the total value of goods and services exported as well as income and workers' remittances received. Workers' remittances include compensation of employees. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",3
BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)",,"Insurance and financial services cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. This indicator is expressed as a percentage of service exports which are services provided by residents to non-residents.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)",,"Exports of goods occur when there are changes in the economic ownership of goods from residents of the compiling economy to non-residents, irrespective of physical movement of goods across national borders. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.NFSV.CD,"Service exports (BoP, current US$)",,"Exports of services are services provided by residents to non-residents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)",,"Charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises), and charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)",,"Exports of goods includes changes in the economic ownership of goods from residents of the compiling economy to non-residents, irrespective of physical movement of goods across national borders. Exports of services includes services provided by residents to non-residents. Primary income represents the return that accrues to institutional units for their contribution to the production process or for the provision of financial assets and renting natural resources to other institutional units. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)",,Transport services covers the process of carriage of people and objects from one location to another as well as related supporting and auxiliary services. Also included are postal and courier services. This indicator is expressed as a percentage of service exports which are services provided by residents to non-residents.,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",,"Travel services cover goods and services for own use or to give away acquired from an economy by nonresidents during visits to that economy, or acquired from other economies by residents during visits to these other economies. This indicator is expressed as a percentage of service exports which are services provided by residents to non-residents.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",3
BX.KLT.DINV.CD.DT,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)",,"Foreign direct investment (net) shows the net change in foreign investment in the reporting country. Foreign direct investment is defined as investment that is made to acquire a lasting management interest (usually of 10 percent of voting stock) in an enterprise operating in a country other than that of the investor (defined according to residency), the investor's purpose being an effective voice in the management of the enterprise. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net inflows in the reporting economy. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments, supplemented by data from United Nations Conference on Trade and Development and official national sources. Data starting from 2005 are based the sixth edition of the IMF's Balance of Payments Manual (BPM6).",20
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",,"Foreign direct investment refers to direct investment equity flows in the reporting economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. Data are in current U.S. dollars.","Balance of Payments database, International Monetary Fund (IMF), note: International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.;
UN Conference on Trade and Development (UNCTAD);
Official national sources",3
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",,"Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net inflows (new investment inflows less disinvestment) in the reporting economy from foreign investors, and is divided by GDP.","International Financial Statistics and Balance of Payments databases, International Monetary Fund (IMF);
International Debt Statistics, World Bank (WB);
World Bank GDP estimates, World Bank (WB);
OECD GDP estimates, Organisation for Economic Co-operation and Development (OECD)",3
BX.KLT.DREM.CD.DT,Primary income on FDI (current US$),,"Primary income on foreign direct investment covers payments of direct investment income (debit side), which consist of income on equity (dividends, branch profits, and reinvested earnings) and income on the intercompany debt (interest). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook.",3
